"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"2021-04-19 12:44:58",139892,"      [04/19/2021 12:46:29.78]    (DBG Cont. Move) : (601);newReading --  _CurrDept(16.57); _8PrevDpt(16.32);   BadCount(0)","Fltreset  OK  # data  5.00 16.57 330.16 -3.45 0.97 105.28 13.43 0.73 5.97 10.43   # "
"2021-04-19 12:44:58",139893,"      [04/19/2021 12:46:29.80]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(16.57); _Temp1(17.22);   (lag-castawayAdj(0.65))",""
"2021-04-19 12:44:58",139894,"      [04/19/2021 12:46:29.83]    (DBG Cont. Move) : just sent FilterReset command",""
"2021-04-19 12:44:58",139895,"      [04/19/2021 12:46:30.85]    (DBG Cont. Move) : just sent Data Command",""
"2021-04-19 12:44:58",139896,"      [04/19/2021 12:46:31.20]    (DBG Cont. Move) : (611);newReading --  _CurrDept(16.84); _8PrevDpt(16.57);   BadCount(0)","Fltreset  OK  # data  5.00 16.84 331.08 -3.44 0.97 105.27 13.43 0.73 5.97 10.43   # "
"2021-04-19 12:44:58",139897,"      [04/19/2021 12:46:31.22]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(16.84); _Temp1(17.49);   (lag-castawayAdj(0.65))",""
"2021-04-19 12:44:58",139898,"      [04/19/2021 12:46:31.25]    (DBG Cont. Move) : just sent FilterReset command",""
"2021-04-19 12:44:58",139899,"      [04/19/2021 12:46:32.27]    (DBG Cont. Move) : just sent Data Command",""
"2021-04-19 12:44:58",139900,"      [04/19/2021 12:46:32.62]    (DBG Cont. Move) : (621);newReading --  _CurrDept(17.08); _8PrevDpt(16.84);   BadCount(0)","Fltreset  OK  # data  5.00 17.08 330.76 -3.45 0.98 105.25 13.43 0.73 5.97 10.43   # "
"2021-04-19 12:44:58",139901,"      [04/19/2021 12:46:32.64]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(17.08); _Temp1(17.73);   (lag-castawayAdj(0.65))",""
