"TOA5","OwascoInternetWinch","CR1000","57852","CR1000.Std.26","CPU:Owasco 44.cr1","23139","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"","","Smp","Smp"
"2020-05-30 12:44:52",96110,"      [05/30/2020 12:46:14.91]    (DBG Cont. Move) : just sent Data Command",""
"2020-05-30 12:44:52",96111,"      [05/30/2020 12:46:15.26]    (DBG Cont. Move) : (541);newReading --  _CurrDept(15.08); _8PrevDpt(14.81);   BadCount(0)","Fltreset  OK  # data  7.84 15.08 332.08 -3.15 1.11 101.76 12.10 0.06 6.05 10.15   # "
"2020-05-30 12:44:52",96112,"      [05/30/2020 12:46:15.28]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(15.08); _Temp1(15.73);   (lag-castawayAdj(0.65))",""
"2020-05-30 12:44:52",96113,"      [05/30/2020 12:46:15.31]    (DBG Cont. Move) : just sent FilterReset command",""
"2020-05-30 12:44:52",96114,"      [05/30/2020 12:46:16.33]    (DBG Cont. Move) : just sent Data Command",""
"2020-05-30 12:44:52",96115,"      [05/30/2020 12:46:16.68]    (DBG Cont. Move) : (551);newReading --  _CurrDept(15.33); _8PrevDpt(15.08);   BadCount(0)","Fltreset  OK  # data  7.78 15.33 332.89 -3.15 1.07 101.52 12.06 0.07 6.05 10.15   # "
"2020-05-30 12:44:52",96116,"      [05/30/2020 12:46:16.70]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(15.33); _Temp1(15.98);   (lag-castawayAdj(0.65))",""
"2020-05-30 12:44:52",96117,"      [05/30/2020 12:46:16.73]    (DBG Cont. Move) : just sent FilterReset command",""
"2020-05-30 12:44:52",96118,"      [05/30/2020 12:46:17.75]    (DBG Cont. Move) : just sent Data Command",""
"2020-05-30 12:44:52",96119,"      [05/30/2020 12:46:18.10]    (DBG Cont. Move) : (561);newReading --  _CurrDept(15.56); _8PrevDpt(15.33);   BadCount(0)","Fltreset  OK  # data  7.72 15.56 332.88 -3.15 1.05 101.34 12.06 0.07 6.05 10.15   # "
"2020-05-30 12:44:52",96120,"      [05/30/2020 12:46:18.12]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(15.56); _Temp1(16.21);   (lag-castawayAdj(0.65))",""
"2020-05-30 12:44:52",96121,"      [05/30/2020 12:46:18.15]    (DBG Cont. Move) : just sent FilterReset command",""
"2020-05-30 12:44:52",96122,"      [05/30/2020 12:46:19.17]    (DBG Cont. Move) : just sent Data Command",""
"2020-05-30 12:44:52",96123,"      [05/30/2020 12:46:19.52]    (DBG Cont. Move) : (571);newReading --  _CurrDept(15.84); _8PrevDpt(15.56);   BadCount(0)","Fltreset  OK  # data  7.80 15.84 331.67 -3.14 1.01 101.15 12.05 0.07 6.05 10.15   # "
"2020-05-30 12:44:52",96124,"      [05/30/2020 12:46:19.54]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(15.84); _Temp1(16.49);   (lag-castawayAdj(0.65))",""
"2020-05-30 12:44:52",96125,"      [05/30/2020 12:46:19.57]    (DBG Cont. Move) : just sent FilterReset command",""
"2020-05-30 12:44:52",96126,"      [05/30/2020 12:46:20.59]    (DBG Cont. Move) : just sent Data Command",""
"2020-05-30 12:44:52",96127,"      [05/30/2020 12:46:20.94]    (DBG Cont. Move) : (581);newReading --  _CurrDept(16.08); _8PrevDpt(15.84);   BadCount(0)","Fltreset  OK  # data  7.68 16.08 331.90 -3.15 0.91 100.99 12.01 0.06 6.05 10.15   # "
"2020-05-30 12:44:52",96128,"      [05/30/2020 12:46:20.96]  PFLDir(DOWN) check  (DBG Cont. Move) : (32); _CurrDept(16.08); _Temp1(16.73);   (lag-castawayAdj(0.65))",""
"2020-05-30 12:44:52",96129,"      [05/30/2020 12:46:20.99]    (DBG Cont. Move) : just sent FilterReset command",""
"2020-05-30 12:44:52",96130,"      [05/30/2020 12:46:22.01]    (DBG Cont. Move) : just sent Data Command",""
