"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","DbgMoveSequence"
"TIMESTAMP","RECORD","DbgStr","DbgStr2"
"TS","RN","",""
"","","Smp","Smp"
"2014-08-13 00:05:19",81,"45.1; 44.84; 44.7; 44.61; 44.27; 44.26; 43.9; (-1)43.97; (-1)43.52; ","[ (-1)  Curr( 43.52) PrevDpt( 43.97) ]; "
"2014-08-13 00:06:45",82,"43.44; 43.34; 43.09; 43.02; 42.65; (-1)42.6; (-1)42.14; (-1)42.16; (-1)41.88; (1)42.06; ","[ (1)  Curr( 42.06) PrevDpt( 41.88) ]; "
"2014-08-13 00:07:31",83,"",""
"2014-08-13 00:08:32",84,"(-1)40.85; (-1)40.69; (-1)40.4; ","[ (-1)  Curr( 40.4) PrevDpt( 40.69) ]; "
"2014-08-13 00:09:56",85,"40.47; 40.23; 40.1; 39.88; 39.77; 39.48; (-1)39.53; (-1)39; ","[ (-1)  Curr( 39) PrevDpt( 39.53) ]; "
"2014-08-13 00:11:21",86,"38.9; 38.88; 38.51; 38.57; 38.15; (-1)38.15; (-1)37.53; ","[ (-1)  Curr( 37.53) PrevDpt( 38.15) ]; "
"2014-08-13 00:12:45",87,"37.59; 37.45; 37.16; 37.11; 36.84; 36.69; 36.43; (-1)36.44; (-1)35.96; ","[ (-1)  Curr( 35.96) PrevDpt( 36.44) ]; "
"2014-08-13 00:14:11",88,"35.98; 35.75; 35.62; 35.44; 35.18; 35.04; (-1)34.76; (-1)34.71; (-1)34.53; ","[ (-1)  Curr( 34.53) PrevDpt( 34.71) ]; "
"2014-08-13 00:15:39",89,"34.49; 34.24; 34.13; 33.97; 33.72; 33.61; (-1)33.27; (-1)33.17; (-1)33.12; (-1)32.82; (1)33.08; ","[ (1)  Curr( 33.08) PrevDpt( 32.82) ]; "
"2014-08-13 00:16:25",90,"",""
"2014-08-13 00:17:26",91,"(-1)31.8; (-1)31.59; ","[ (-1)  Curr( 31.59) PrevDpt( 31.8) ]; "
"2014-08-13 00:18:46",92,"31.53; 31.36; 31.14; 31.03; 30.74; 30.59; (-1)30.59; (-1)29.98; ","[ (-1)  Curr( 29.98) PrevDpt( 30.59) ]; "
"2014-08-13 00:20:11",93,"30.04; 29.82; 29.65; 29.43; 29.27; 29.14; (-1)28.94; (-1)28.64; (-1)28.6; ","[ (-1)  Curr( 28.6) PrevDpt( 28.64) ]; "
"2014-08-13 00:21:40",94,"28.62; 28.27; 28.18; 27.98; 27.85; 27.65; (-1)27.52; (-1)27.04; ","[ (-1)  Curr( 27.04) PrevDpt( 27.52) ]; "
"2014-08-13 00:23:05",95,"27.14; 26.84; 26.75; 26.49; 26.4; 26.15; (-1)26.15; (-1)25.63; (-1)25.52; ","[ (-1)  Curr( 25.52) PrevDpt( 25.63) ]; "
"2014-08-13 00:24:35",96,"25.46; 25.31; 25.03; 24.91; 24.75; 24.57; (-1)24.4; (-1)24.02; ","[ (-1)  Curr( 24.02) PrevDpt( 24.4) ]; "
"2014-08-13 00:25:59",97,"24.09; 23.82; 23.72; 23.53; 23.31; 23.12; (-1)22.92; (-1)22.63; (-1)22.57; ","[ (-1)  Curr( 22.57) PrevDpt( 22.63) ]; "
"2014-08-13 00:27:27",98,"22.39; 22.39; 22.09; 21.99; 21.66; 21.66; 21.29; (-1)21.31; (-1)21.06; ","[ (-1)  Curr( 21.06) PrevDpt( 21.31) ]; "
"2014-08-13 00:28:52",99,"21.02; 20.67; 20.68; 20.31; 20.15; (-1)19.93; (-1)19.63; (-1)19.62; (-1)19.58; ","[ (-1)  Curr( 19.58) PrevDpt( 19.62) ]; "
"2014-08-13 00:30:23",100,"19.5; 19.24; 19.15; 18.81; 18.68; 18.4; (-1)18.31; (-1)17.99; ","[ (-1)  Curr( 17.99) PrevDpt( 18.31) ]; "
"2014-08-13 00:31:47",101,"18.06; 17.76; 17.69; 17.42; 17.2; 17.03; (-1)16.77; (-1)16.63; (-1)16.53; ","[ (-1)  Curr( 16.53) PrevDpt( 16.63) ]; "
"2014-08-13 00:33:14",102,"16.5; 16.28; 16.19; 15.85; 15.73; 15.56; (-1)15.03; ",""
"2014-08-13 00:34:33",103,"15.33; 15.12; 14.9; 14.68; 14.52; 14.28; 14.13; (-1)13.82; (-1)13.55; ","[ (-1)  Curr( 13.55) PrevDpt( 13.82) ]; "
"2014-08-13 00:35:58",104,"13.68; 13.47; 13.29; 13.07; 12.75; 12.71; 12.41; (-1)12.41; (-1)11.95; ","[ (-1)  Curr( 11.95) PrevDpt( 12.41) ]; "
"2014-08-13 00:37:24",105,"11.85; 11.84; 11.55; 11.36; 11.15; (-1)10.97; (-1)10.55; ","[ (-1)  Curr( 10.55) PrevDpt( 10.97) ]; "
"2014-08-13 00:38:47",106,"10.58; 10.29; 10.16; 9.939999; 9.66; 9.59; 9.22; (-1)9.13; (-1)9.03; ","[ (-1)  Curr( 9.03) PrevDpt( 9.13) ]; "
"2014-08-13 00:40:11",107,"8.85; 8.82; 8.49; 8.53; 8.020001; (-1)7.86; (-1)7.67; (-1)7.43; ","[ (-1)  Curr( 7.43) PrevDpt( 7.67) ]; "
"2014-08-13 00:41:38",108,"7.41; 7.37; 6.95; 7.01; 6.54; (-1)6.53; (-1)6.01; ","[ (-1)  Curr( 6.01) PrevDpt( 6.53) ]; "
"2014-08-13 00:43:02",109,"5.99; 5.86; 5.55; 5.38; 5.15; (-1)5.11; (-1)4.52; ","[ (-1)  Curr( 4.52) PrevDpt( 5.11) ]; "
"2014-08-13 00:44:26",110,"4.5; 4.18; 4.14; 3.74; 3.69; 3.41; (-1)3.29; (-1)3.1; ","[ (-1)  Curr( 3.1) PrevDpt( 3.29) ]; "
"2014-08-13 00:45:50",111,"2.98; 2.82; 2.54; 2.38; 2.13; (-1)2.03; (-1)1.56; ","[ (-1)  Curr( 1.56) PrevDpt( 2.03) ]; "
"2014-08-13 00:47:14",112,"(-1)1.17; (-1)1.01; ","[ (-1)  Curr( 1.01) PrevDpt( 1.17) ]; "
"2014-08-24 00:00:31",113,"47.13; 47.32; 47.52; (1)47.68; (1)47.91; ","[ (1)  Curr( 47.91) PrevDpt( 47.68) ]; "
"2014-08-24 00:01:43",114,"47.88; 47.72; 47.53; 47.38; 47.2; 47.03; (-1)46.89; (-1)46.64; (-1)46.55; ","[ (-1)  Curr( 46.55) PrevDpt( 46.64) ]; "
"2014-08-24 00:03:11",115,"46.52; 46.33; 46.16; 45.99; 45.81; 45.63; (-1)45.48; (-1)45.15; (-1)45.04; ","[ (-1)  Curr( 45.04) PrevDpt( 45.15) ]; "
"2014-08-24 00:04:40",116,"45.01; 44.82; 44.66; 44.5; 44.31; 44.13; (-1)43.99; (-1)43.64; (-1)43.55; ","[ (-1)  Curr( 43.55) PrevDpt( 43.64) ]; "
"2014-08-24 00:06:09",117,"43.51; 43.34; 43.15; 42.99; 42.8; 42.64; (-1)42.5; (-1)42.14; (-1)42.04; ","[ (-1)  Curr( 42.04) PrevDpt( 42.14) ]; "
"2014-08-24 00:07:38",118,"42; 41.85; 41.69; 41.5; 41.33; 41.17; 40.98; (-1)40.84; (-1)40.59; ","[ (-1)  Curr( 40.59) PrevDpt( 40.84) ]; "
"2014-08-24 00:09:03",119,"40.55; 40.38; 40.21; 40.01; 39.84; 39.67; 39.47; (-1)39.32; (-1)39.1; ","[ (-1)  Curr( 39.1) PrevDpt( 39.32) ]; "
"2014-08-24 00:10:28",120,"39.07; 38.88; 38.7; 38.52; 38.34; 38.16; 37.96; (-1)37.82; (-1)37.6; ","[ (-1)  Curr( 37.6) PrevDpt( 37.82) ]; "
"2014-08-24 00:11:53",121,"37.57; 37.4; 37.2; 37.03; 36.83; 36.65; (-1)36.5; (-1)36.14; (-1)36.04; ","[ (-1)  Curr( 36.04) PrevDpt( 36.14) ]; "
"2014-08-24 00:13:22",122,"35.99; 35.82; 35.62; 35.45; 35.25; 35.07; (-1)34.93; (-1)34.64; (-1)34.54; ","[ (-1)  Curr( 34.54) PrevDpt( 34.64) ]; "
"2014-08-24 00:14:50",123,"34.52; 34.33; 34.17; 33.97; 33.81; 33.63; (-1)33.49; (-1)33.13; (-1)33.04; ","[ (-1)  Curr( 33.04) PrevDpt( 33.13) ]; "
