"TOA5","OwascoWinchDirect","CR1000","57852","CR1000.Std.26","CPU:Owasco 44.cr1","23139","DbgMoveSequence"
"TIMESTAMP","RECORD","DbgStr","DbgStr2"
"TS","RN","",""
"","","Smp","Smp"
"2020-10-17 00:06:29",1960,"42.05; 41.89; 41.7; 41.55; 41.37; 41.23; 41.07; (-1)40.94; (-1)40.67; (-1)40.54; ","[ (-1)  Curr( 40.54) PrevDpt( 40.67) ]; "
"2020-10-17 00:07:59",1961,"40.51; 40.37; 40.2; 40.04; 39.89; 39.72; 39.57; (-1)39.44; (-1)39.12; (-1)39.08; ","[ (-1)  Curr( 39.08) PrevDpt( 39.12) ]; "
"2020-10-17 00:09:29",1962,"39.04; 38.87; 38.72; 38.55; 38.39; 38.19; 38.02; (-1)37.89; (-1)37.63; (-1)37.59; ","[ (-1)  Curr( 37.59) PrevDpt( 37.63) ]; "
"2020-10-17 00:10:59",1963,"37.53; 37.37; 37.2; 37.03; 36.9; 36.71; 36.55; (-1)36.43; (-1)36.18; (-1)36.06; ","[ (-1)  Curr( 36.06) PrevDpt( 36.18) ]; "
"2020-10-17 00:12:29",1964,"36.05; 35.86; 35.67; 35.55; 35.43; 35.25; 35.05; (-1)34.93; (-1)34.67; (-1)34.57; ","[ (-1)  Curr( 34.57) PrevDpt( 34.67) ]; "
"2020-10-17 00:13:59",1965,"34.52; 34.35; 34.2; 34.03; 33.87; 33.68; 33.53; (-1)33.39; (-1)33.14; (-1)33.04; ","[ (-1)  Curr( 33.04) PrevDpt( 33.14) ]; "
"2020-10-17 00:15:29",1966,"33.01; 32.87; 32.68; 32.47; 32.31; 32.16; 32.02; (-1)31.87; (-1)31.62; (-1)31.54; ","[ (-1)  Curr( 31.54) PrevDpt( 31.62) ]; "
"2020-10-17 00:16:58",1967,"31.48; 31.32; 31.15; 30.95; 30.81; 30.64; (-1)30.54; (-1)30.16; (-1)30.07; ","[ (-1)  Curr( 30.07) PrevDpt( 30.16) ]; "
"2020-10-17 00:18:27",1968,"30; 29.85; 29.69; 29.52; 29.32; 29.19; 29; (-1)28.86; (-1)28.61; (-1)28.54; ","[ (-1)  Curr( 28.54) PrevDpt( 28.61) ]; "
"2020-10-17 00:19:56",1969,"28.5; 28.34; 28.16; 28; 27.79; 27.63; (-1)27.5; (-1)27.16; (-1)27.08; ","[ (-1)  Curr( 27.08) PrevDpt( 27.16) ]; "
"2020-10-17 00:21:25",1970,"27.03; 26.87; 26.7; 26.56; 26.36; 26.17; 26.04; (-1)25.9; (-1)25.64; (-1)25.55; ","[ (-1)  Curr( 25.55) PrevDpt( 25.64) ]; "
"2020-10-17 00:22:55",1971,"25.54; 25.34; 25.18; 25.03; 24.9; 24.71; 24.54; (-1)24.42; (-1)24.13; (-1)24.06; ","[ (-1)  Curr( 24.06) PrevDpt( 24.13) ]; "
"2020-10-17 00:24:25",1972,"24.03; 23.89; 23.73; 23.56; 23.4; 23.24; 23.08; (-1)22.94; (-1)22.65; (-1)22.56; ","[ (-1)  Curr( 22.56) PrevDpt( 22.65) ]; "
"2020-10-17 00:25:55",1973,"22.53; 22.37; 22.22; 22.06; 21.93; 21.79; 21.61; (-1)21.49; (-1)21.17; (-1)21.04; ","[ (-1)  Curr( 21.04) PrevDpt( 21.17) ]; "
"2020-10-17 00:27:25",1974,"21; 20.88; 20.72; 20.53; 20.36; 20.2; 20; (-1)19.86; (-1)19.63; (-1)19.54; ","[ (-1)  Curr( 19.54) PrevDpt( 19.63) ]; "
"2020-10-17 00:28:54",1975,"19.51; 19.35; 19.17; 18.99; 18.83; 18.69; 18.5; (-1)18.35; (-1)18.11; (-1)18.03; ","[ (-1)  Curr( 18.03) PrevDpt( 18.11) ]; "
